tank,fish,group,std.length,d.spine.1,d.spine.2,lower.jaw,pec.fin.mid,caudal.mid,pelvic.spine.left
1,1,wt,48.16,,2.75,5.25,5.92,4.65,
1,2,wt,45.92,,2.54,4.4,5.73,5.08,
1,3,wt,38.98,,2.08,3.68,4.87,4.27,
1,4,wt,40.47,,2.26,3.83,5.21,4.82,
1,5,wt,34.6,,1.97,2.95,4.16,4.05,
1,6,wt,47.14,,2.98,4.96,6.71,5.35,
1,7,wt,44,,2.49,3.92,5.1,4.76,
1,8,wt,43.92,,2.51,4.19,5.47,4.66,
1,9,wt,47.12,,2.72,4.77,6.21,4.71,
1,10,wt,44.97,,2.66,4.39,5.87,5.11,
1,11,wt,47.1,,2.71,4.73,5.98,5.31,
1,12,wt,40.17,,2.18,4.02,5.04,4.9,
1,13,wt,33.81,,2.27,3.03,4.51,4.1,
1,14,wt,34.69,,1.96,3.02,4.63,3.91,
1,15,wt,39.32,,2.06,3.6,4.89,4.17,
2,16,gfp,44.77,0.7,2.86,4.97,6.03,5,
2,17,gfp,43.79,,2.67,4.66,6.06,5.31,1.73
2,18,gfp,45.89,,2.84,5.08,6.25,4.95,
2,19,gfp,45.63,,3.03,4.89,6.29,5.58,
2,20,gfp,47.08,,2.77,5.01,6.39,5.37,2.6
2,21,gfp,40.03,,2.8,3.75,5.47,4.65,
2,22,gfp,41.03,,2.3,3.69,5.77,4.51,
2,23,gfp,43.02,,2.52,4.49,4.66,5.03,
2,24,gfp,41.4,,2.23,4.57,5.77,4.56,
2,25,gfp,42.52,,2.22,4.28,5.4,4.82,
2,26,gfp,46.78,,2.94,4.84,6.25,5.11,
2,27,gfp,42.49,,2.69,4.46,5.65,5.11,
2,28,gfp,39.75,,2.32,4.07,5.26,4.5,
2,29,gfp,41.9,,2.85,4.14,5.52,4.86,
