tank,fish,sex.observed,group,green.eye.or.eyes.observed.as.adult,which.eyes.have.gfp,std.length,d.spine.1,d.spine.2,d.spine.3,anal.spine,lower.jaw,pec.fin.mid,caudal.mid
1,1,m,uninjected,FALSE,,67.38,,2.96,0.46,0.2,7.57,9.16,7.85
1,2,m,uninjected,FALSE,,63.86,,2.71,1.02,0.2,7.15,8.81,7.28
1,3,m,uninjected,FALSE,,63.25,,2.44,0.76,0.76,7.32,8.38,7.69
1,4,,uninjected,FALSE,,61.49,,2.89,0.7,0.74,6.5,8.66,7.1
1,5,,uninjected,FALSE,,62.33,,2.77,1.09,,6.9,9.15,7.17
1,6,,uninjected,FALSE,,66.17,,2.96,0.86,,6.84,8.91,7.32
1,7,,uninjected,FALSE,,64.03,,3.12,1.17,,6.72,9.48,7.47
2,8,,transgenic.gfp.observed,TRUE,right,62.59,,2.55,0.99,0.2,6.29,8.29,6.75
2,9,,transgenic.gfp.observed,TRUE,left,59.59,0.51,2.58,0.75,,6.49,8.43,7.36
2,10,,transgenic.gfp.observed,TRUE,left,69.85,,3.07,1.33,0.2,7.88,9.35,7.92
2,11,m,transgenic.gfp.observed,TRUE,both,64.25,,2.7,0.85,0.46,7.33,8.48,6.94
2,12,m,transgenic.gfp.observed,FALSE,none,64.02,,2.53,0.46,0.2,7.18,8.5,7.5
2,13,f,transgenic.gfp.observed,TRUE,both,65.94,,2.86,0.87,0.73,6.58,9.12,7.5
2,14,,transgenic.gfp.observed,TRUE,left,58.49,,3.13,1.17,0.95,5.77,8.71,7.13
2,15,m,transgenic.gfp.observed,TRUE,left,56.05,,,,0.2,6.58,7.79,6.6
2,16,,transgenic.gfp.observed,TRUE,left,56.16,,2.76,1.05,0.73,6.02,8.06,7.27
2,17,,transgenic.gfp.observed,TRUE,both,61.07,,3.06,1.13,0.77,7.05,8.83,7.43
2,18,,transgenic.gfp.observed,TRUE,both,59.48,,2.55,1.18,0.6,6.65,8.77,7.82
2,19,,transgenic.gfp.observed,FALSE,none,56.48,,2.85,1.18,0.97,5.8,8.15,6.51
2,20,m,transgenic.gfp.observed,FALSE,none,66.81,,3.06,1.16,0.86,7.86,9.08,7.46
2,21,,transgenic.gfp.observed,TRUE,both,60.67,2.1,2.45,0.96,0.69,6.72,8.3,7.11
2,22,,transgenic.gfp.observed,TRUE,both,56.57,,2.83,1.23,1.07,5.66,8.27,7.17
3,23,,injected.but.no.fluorescence,FALSE,,53.86,,2.31,0.75,0.54,5.41,7.85,6.47
3,24,,injected.but.no.fluorescence,FALSE,,53.35,,2.56,0.74,0.32,5.82,7.47,7.12
3,25,m,injected.but.no.fluorescence,FALSE,,61.81,,2.64,1.09,0.68,7.43,9.61,7.58
3,26,m,injected.but.no.fluorescence,FALSE,,59.36,,2.47,0.66,,6.73,8.46,7.62
3,27,,injected.but.no.fluorescence,FALSE,,50.65,,1.97,0.64,0.56,5.36,7.71,6.45
3,28,,injected.but.no.fluorescence,FALSE,,56.06,,2.05,0.77,0.56,6.08,8.12,6.99
3,29,m,injected.but.no.fluorescence,FALSE,,69.11,,2.43,0.65,0.45,7.74,9.85,7.55
3,30,,injected.but.no.fluorescence,FALSE,,64.55,,2.54,0.42,0.94,7.11,9.49,6.53
3,31,,injected.but.no.fluorescence,FALSE,,67.21,,2.94,1.26,0.9,7.41,9.07,8.11
3,32,,injected.but.no.fluorescence,FALSE,,53.44,,2.09,0.6,0.58,6.31,7.92,7
3,33,,injected.but.no.fluorescence,FALSE,,55.45,,2.41,0.78,,5.99,7.7,7.65
3,34,m,injected.but.no.fluorescence,FALSE,,55.47,,2.08,0.59,0.53,6.86,7.96,7.13
3,35,m,injected.but.no.fluorescence,FALSE,,54.02,,2.15,0.78,,7.12,8.24,7.28
